web-scraper-order;web-scraper-start-url;content
1647115527-219;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Friedel, Dominik & Back, Andrea: 	Das St. Galler Enterprise-2.0-Methodenset - Ein Ansatz zum organisatorischen Wandel.     	In       	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (Hrsg.):      	Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien.  	München : 	Oldenbourg, 	2012, 	S. 108-115."
1647115527-62;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Mayrhofer, David; Heilmeier, Peter; Nirankari, Ravi & Back, Andrea  	(2005) 	Knowledge Management in Challenging Settings - A Case of Military Aircraft. 	J.UKM: Universal Journal of Knowledge Management, 	 	(1). 	29-38."
1647115527-364;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Social Media: What is Social Media and how will Social Media change our future working environment. 	Workshop Zurich Insurance Company. 	Zürich, 	20 August 2012."
1647115527-127;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Ruf, Christian; Back, Andrea & Weidenfeld, Henk Andreas: 	Designing Tablet Banking Apps for High-Net-Worth Individuals : Specifying Customer Requirements with Prototyping. 	2015. 	- The 28th Bled eConference ""#eWellbeing"". 	- Bled, Slovenia."
1647115527-539;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Teamzentrierte Lernumgebungen: Beispiele und Erfahrungen mit Lehrveranstaltungen an der Universität St. Gallen. 	CHIP '98. 	St. Gallen, 	23 Januar 1998."
1647115527-54;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Wagner, Christian & Back, Andrea  	(2008) 	Group Wisdom Support Systems: Aggregating the Insights of many trough Information Technology. 	Issues in Information Systems (IIS), 	9 	(2). 	343-350."
1647115527-48;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea  	(2009) 	Die Öffnung des Innovationsprozesses. 	wirtschaftsmagazin, 	 	(11). 	9-11."
1647115527-101;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea  	(1995) 	Entwicklungen im Markt und in Anwendungsfeldern von Groupware. 	Informatik/Informatique, 	Vol. 2 	(6). 	4-7."
1647115527-150;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Friedel, Dominik & Back, Andrea: 	Das St. Galler Enterprise 2.0 Methodenset - Ein Ansatz zum organisatorischen Wandel. 	2012. 	- 14. KnowTech 2012. 	- Stuttgart."
1647115527-386;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Social Media im Unternehmenskontext und in der Arbeit. 	EMBE-Modul 9. 	St. Gallen, 	23 Mai 2011."
1647115527-328;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Raimann, Joerg; Koehne, Marija; Seufert, Andreas; Back, Andrea & von Krogh, G.: 	Knowledge Networks - A Tools Perspective. 	, 	2000,"
1647115527-523;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Knowledge Networking: Von der Vision zum Business Case. 	Symposium ""Wenn Ihre Firma wüsste, was Ihre Firma weiss: Knowledge Management / Business Intelligence"". 	Pfäffikon, 	1 Januar 2000."
1647115527-105;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea & Seufert, Andreas  	(1995) 	Kanzleiinformationssystem. 	Datenverarbeitung-Steuer-Wirtschaft-Recht, 	Vol. 25 	(4). 	114-118."
1647115527-165;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Seidel, Gunter & Back, Andrea: 	Critical Success Factors of Global Enterprise Resource Planning Programmes: An Empirical Model Based on Expert Interviews. 	2011. 	- 19th European Conference on Information Systems (ECIS) 2011. 	- Helsinki, Finland."
1647115527-246;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Schmid, Beat: 	Elektronische Märkte.     	In       	Österle, Hubert; Back, Andrea; Winter, Robert & Brenner, Walter (Hrsg.):      	Business Engineering - Die ersten 15 Jahre.  	Berlin : 	Springer, 	2004, 	S. 171-201."
1647115527-104;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea  	(1995) 	Interview mit Mark C. Turrell: ""Groupware should be widely deployed"". 	Informatik/Informatique, 	 	(6). 	29-30."
1647115527-450;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	E-Learning im Unternehmen. 	CIO-Meeting. 	Zürich, 	6 März 2006."
1647115527-426;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Zeit für kreative Verdrängung des Althergebrachten im betrieblichen E-Learning: Disruptive Innovation. 	Swiss eEducation Forum, info society days 2009. 	Bern, 	2 März 2009."
1647115527-61;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea & Leithner, Barbara  	(2006) 	Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen. 	Zeitschrift für Betriebswirtschaft, 	 	(2). 	1-18."
1647115527-442;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Unterwegs auf der Formel 1-Rennstrecke der e-Learning-Innovationen. 	Zukunft E-Learning - E-Learning-Strategie und didaktische Implikationen. 	Innsbruck, 	4 Dezember 2006."
1647115527-308;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Bendel, Oliver; Bursian, Olaf; Oberlin, Karin; Keller, Miriam; Leithner, Barbara & Back, Andrea: 	Qualitative und ökonomische Potenziale der Einführung eines LMS in der Credit Suisse. 	Reihe Arbeitsberichte des Learning Center der Universität St. Gallen, 	2001, 	2/2001."
1647115527-41;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea  	(2011) 	Stille Revolution im Workplace Learning. 	HR Today Special ""Personal Swiss 2011"", 	 	(1). 	41-42."
1647115527-107;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea  	(1994) 	Ein Modell zur Kalkulation der Kosten je Absolvent. 	ZfB-Sonderheft, 	 	(64). 	297-310."
