Alexandria Scraper - Andrea Beck;;;;;;;;;;;;;;;;;;;;
Publikationstitel;Link;Autorennamen;Publikationsart;Journal;Fachgebiete;Sprache;Stichworte;Peer-Reviewed;Datum;Verlag;Auflage;Ausgabe;Seiten;ISSN;DOI;URL;Eingestellt von;Einstellungsdatum;Letzte Änderung;URI
Do LMS have a Future? A conversation between criticism and defence of today's LMS.;https://www.alexandria.unisg.ch/102536/;Back, Andrea;Präsentation;;information management;Deutsch;;Nein;23 März 2011;;;;;;;;Prof. Dr. Andrea Back;21 Apr 2011 13:27;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/102536
Designing Tablet Banking Apps for High-Net-Worth Individuals : Specifying Customer Requirements with Prototyping.;https://www.alexandria.unisg.ch/241640/;"Ruf, Christian; Back, Andrea & Weidenfeld, Henk Andreas";"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;Mobile Banking, Tablet Apps,;Ja;3 Juni 2015;;;;520-534;;;https://domino.fov.uni-mb.si/proceedings.nsf/Proce...;Christian Ruf;16 Jun 2015 09:16;03 Mai 2017 14:46;https://www.alexandria.unisg.ch/publications/241640
Knowledge Management und E-Learning.;https://www.alexandria.unisg.ch/214083/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning, Knowledge Management;Nein;14 November 2000;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:38;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214083
Twitter - Begegnung mit altbekannten Lernsituationen.;https://www.alexandria.unisg.ch/213947/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0;Nein;4 Februar 2010;;;;;;;;Prof. Dr. Andrea Back;09 Feb 2010 10:31;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213947
Von einer, die auszog, in der Cloud zu arbeiten: Ein Erfahrungsbericht ….;https://www.alexandria.unisg.ch/213964/;Back, Andrea;Präsentation;;information management;Deutsch;Business 2.0, Cloud Computing, Web 2.0;Nein;9 Juni 2011;;;;;;;;Prof. Dr. Andrea Back;12 Jul 2011 12:46;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213964
Arbeitsplatz der Zukunft, Innovationsvortrag.;https://www.alexandria.unisg.ch/214341/;Back, Andrea;Präsentation;;information management;Deutsch;Social Media, Business 2.0;Nein;28 Oktober 2010;;;;;;;;Prof. Dr. Andrea Back;08 Sep 2011 14:06;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214341
Vom Wissensmanagement zum Wissensnetzwerk.;https://www.alexandria.unisg.ch/213534/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management, Knowledge Networks;Nein;1 Oktober 2003;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:47;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213534
E-Learning quo vadis? Innovationsrichtungen veranschaulicht am St. Galler E-Learning Referenzmodell.;https://www.alexandria.unisg.ch/66845/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;13 Mai 2004;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:12;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66845
Neue Lerntechnologien (NLT) in Schweizerischen Industrieunternehmen.;https://www.alexandria.unisg.ch/213511/;Back, Andrea & Bursian, Olaf;"Monograph
  	      
              (Working Paper)";;information management;Deutsch;Computer-based Training, Corporate Universities, E-Learning, E-Training;Nein;1 August 2001;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 12:44;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213511
Knowledge Management und Knowledge Portale: Konzepte und Trends.;https://www.alexandria.unisg.ch/213116/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;11 April 2000;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:40;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213116
Current State Analysis and Identification of Opportunities in Roche's Sales Force Training.;https://www.alexandria.unisg.ch/214103/;"Heidecke, Florian; Mayrhofer, David; Back, Andrea & Schiesser, Andreas";"Monograph
  	      
              (Working Paper)";;information management;Englisch;Kollaboratives Lernen / E-Collaboration;Nein;1 Februar 2005;;;;;;;;Florian Heidecke;14 Feb 2006 09:27;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214103
Revolutionäre Trends in der Zusammenarbeit: The wiki way, the twitter way, the open innovation way.;https://www.alexandria.unisg.ch/213366/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0, Wiki;Nein;23 September 2009;;;;;;;;Prof. Dr. Andrea Back;09 Okt 2009 12:19;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213366
Disentangling the Fuzzy Front End of Digital Transformation: Activities and Approaches.;https://www.alexandria.unisg.ch/254097/;Berghaus, Sabine & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;digital transformation, organizational change, digital innovation, digital transformation strategy, fuzzy front end, activity theory;;10 Dezember 2017;Association for Information Systems;;;1-17;;;http://aisel.aisnet.org/cgi/viewcontent.cgi?articl...;Prof. Dr. Andrea Back;25 Apr 2018 13:00;25 Apr 2018 13:00;https://www.alexandria.unisg.ch/publications/254097
Information Security and Open Source Dual Use Security Software: Trust Paradox.;https://www.alexandria.unisg.ch/224203/;Silic, Mario & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;business studies;Englisch;information security, open source security software, Nmap, dual-use technology,;Ja;26 Juni 2013;;IFIP Advances in Information and Communication Technology, Vol. 404;;194-206;1868-4238;10.1007/978-3-642-38928-3_14;;Prof. Dr. Andrea Back;09 Jul 2013 11:23;30 Aug 2017 13:55;https://www.alexandria.unisg.ch/publications/224203
Basis-Workshop Wissensmanagement (WM).;https://www.alexandria.unisg.ch/66825/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;5 Oktober 2001;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:32;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66825
Employing Consumer IT in Operations: Will iPads Save Money, Increase Efficiency, and Raise User Satisfaction?;https://www.alexandria.unisg.ch/230900/;"Sammer, Thomas; Back, Andrea & Brechbühl, Hans";Fallstudie;;information management;Englisch;Consumerisation, Media tablet, iPad, Public transportation, Railway, Mobile business, Mobile infrastructure, Smartphone, Tablet computer, IT client management, IT strategy, Device strategy;Ja;2014;;;914-009-1;;;;;Elsy Zollikofer;04 Apr 2014 09:58;23 Aug 2016 11:18;https://www.alexandria.unisg.ch/publications/230900
The customer - an untapped source of innovations. Developing a Customer Integration Network in HP.;https://www.alexandria.unisg.ch/257/;"Gurgul, Grzegorz; Enkel, Ellen; Rumyantseva, Maria & Ulrich, Claudia";Buchkapitel;;business studies;Englisch;Knowledge Networks, Customer Integration, HP;Ja;2007;Springer;;;59-76;;10.1007/978-3-540-33073-8_3;;Ellen Enkel;25 Okt 2004 11:11;23 Aug 2016 10:52;https://www.alexandria.unisg.ch/publications/257
Wearable Business Solutions – Herleitung und Auswirkung auf die Value Creation durch Unternehmen im Jahr 2021 mittels Szenariotechnik und Delphimethode.;https://www.alexandria.unisg.ch/249220/;Heusler, Noemi & Back, Andrea;"Monograph
  	      
              (Working Paper)";;information management;Deutsch;;;August 2016;;;01/2016;109;;;;Prof. Dr. Andrea Back;14 Sep 2016 14:13;14 Sep 2016 14:13;https://www.alexandria.unisg.ch/publications/249220
eCollaboration Goes Web 2.0 - Von den Basistechnologien zu den Trends effektiver verteilter Zusammenarbeit.;https://www.alexandria.unisg.ch/214022/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Collaboration;Nein;1 Februar 2007;;;;;;;;Prof. Dr. Andrea Back;22 Feb 2007 13:33;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214022
Schöne neue Arbeitswelt: Die Rolle von E-Tools für Ihre Informations- und Wissensarbeiter.;https://www.alexandria.unisg.ch/213727/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;12 Oktober 2004;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:30;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213727
Open Grid - Open Mind.;https://www.alexandria.unisg.ch/256583/;"Bieger, Thomas; Achleitner, Paul; Landolf, Urs; Serratore, Luca; Breitenstein, Yannik; Dilger, Bernadette; Angélil, Marc; Fujimoto, Sou; Böhm, Andreas; Meckel, Miriam; Borth, Damian; Gasser, Urs; Lohmann, Melinda Florina; Bruch, Heike; Berenbold, Sandra; Gassmann, Oliver; Josef, Barbara; Back, Andrea; Uebernickel, Falk; Kohler, Marc; Hehn, Jennifer; Leimeister, Jan Marco; Söllner, Matthias; Brenner, Walter; Gutzwiller, Thomas; Frank, Markus; Schürer, Wolfgang & Kissinger, Henry";Buch;;education;Deutsch;;;2018;;1. Auflage;;107;;;;Dr. Andreas Böhm;04 Feb 2019 09:41;04 Feb 2019 09:41;https://www.alexandria.unisg.ch/publications/256583
State of the Art des Management Supports Teil 2: Neuere Management Support Ansätze.;https://www.alexandria.unisg.ch/213091/;Back, Andrea & Seufert, Andreas;"Monograph
  	      
              (Working Paper)";;information management;Deutsch;;Nein;4 März 1997;;;;;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:52;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213091
Zwischen Euphorie und Ernüchterung: Wie entwickelt sich Collaborative Communication via Intranet und Extranet.;https://www.alexandria.unisg.ch/66907/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;1 Mai 2003;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 10:10;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66907
Szenario Bildungslandschaft 2005.;https://www.alexandria.unisg.ch/213701/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Web-based Training;Nein;22 April 1999;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:35;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/213701
Groupware im Kontext problemorientierter Computing Workspaces.;https://www.alexandria.unisg.ch/66861/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Groupware;Nein;11 Januar 1999;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:32;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66861
Aktuelle Trends in Enterprise Mobility.;https://www.alexandria.unisg.ch/220095/;Sammer, Thomas & Back, Andrea;Zeitungs- oder Magazinartikel;IT business;information management;Deutsch;Enterprise Mobility;Nein;Juni 2012;;2012;3;14-15;;;;Thomas Sammer;30 Jan 2013 09:55;23 Aug 2016 11:15;https://www.alexandria.unisg.ch/publications/220095
The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group?;https://www.alexandria.unisg.ch/227151/;Sammer, Thomas & Back, Andrea;Fallstudie;;information management;Englisch;BYOD, IT alignment, mobile, employee engagement;Ja;2013;The Case Centre;;313-248-8;;;;;Thomas Sammer;05 Nov 2013 00:08;23 Aug 2016 11:17;https://www.alexandria.unisg.ch/publications/227151
Betreibermodell und Anreizsystem für Multimedia-gestützte Studiengänge im Weiterbildungsmarkt.;https://www.alexandria.unisg.ch/196924/;"Leithner, Barbara; Keller, Miriam; Bursian, Olaf; Bendel, Oliver & Back, Andrea";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;Lebenslanges Leben;Nein;14 März 2001;;;BE HSG / IWI3 Nr. 20 (Internal Paper);;;;;Barbara Leithner;30 Jun 2006 08:45;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/196924
Technologie und Mensch im Wissensmanagement.;https://www.alexandria.unisg.ch/213494/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;21 März 2000;;;;;;;;Prof. Dr. Andrea Back;06 Jul 2006 17:20;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213494
Das St. Galler Enterprise 2.0 Methodenset - Ein Ansatz zum organisatorischen Wandel.;https://www.alexandria.unisg.ch/218408/;Friedel, Dominik & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;;Ja;24 Oktober 2012;Gito;;;339-347;;;;Prof. Dr. Andrea Back;30 Nov 2012 10:11;13 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/218408
Wissensnetzwerke: Ihr Beitrag zum persönlichen und Unternehmenswachstum.;https://www.alexandria.unisg.ch/66903/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Networks;Nein;1 März 2001;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:59;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66903
Insights from taking a business engineering perspective on corporate eLearning.;https://www.alexandria.unisg.ch/66864/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;1 Oktober 2003;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:35;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66864
Lernen am Puls der Zeit gestalten.;https://www.alexandria.unisg.ch/213149/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;1 November 2005;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:47;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213149
Outlook: Beyond organizational boundaries - Knowledge Networks for Growth.;https://www.alexandria.unisg.ch/261/;Enkel, Ellen;Buchkapitel;;business studies;Englisch;Knowledge Networks for Growth;Ja;2006;Palgrave;;;221-239;;;;Ellen Enkel;25 Okt 2004 11:11;27 Feb 2016 14:40;https://www.alexandria.unisg.ch/publications/261
Developmental aspects and supportive factors in Knowledge Networks.;https://www.alexandria.unisg.ch/262/;"Köhne, M.; Enkel, Ellen & Ulrich, C.";Buchkapitel;;business studies;Englisch;;Ja;2006;Palgrave Macmillan;;;148-169;;;;Ellen Enkel;25 Okt 2004 11:11;27 Feb 2016 16:57;https://www.alexandria.unisg.ch/publications/262
Wissensmanagement und IT-Technologie - eine häufig missverstandene Beziehung.;https://www.alexandria.unisg.ch/213261/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;6 July 2000;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:58;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213261
Success Factor Validation for Global ERP Programmes.;https://www.alexandria.unisg.ch/213715/;Seidel, Gunter & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;Enterprise Resource Planning;Ja;8 Juni 2009;;;;18;;;http://aisel.aisnet.org/ecis2009/313/;Prof. Dr. Andrea Back;17 Dez 2010 11:38;20 Apr 2017 13:29;https://www.alexandria.unisg.ch/publications/213715
Videobasiertes E-Learning auf dem Siegeszug 2.0.;https://www.alexandria.unisg.ch/197461/;Back, Andrea;Präsentation;;information management;Deutsch;E-Learning, Business 2.0, Podcast;Nein;24 November 2009;;;;;;;;Prof. Dr. Andrea Back;17 Dez 2009 14:55;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/197461
Workplace e-collaboration in Practice - Identifying preconditions for successfully implementing e-collaboration in organizations.;https://www.alexandria.unisg.ch/66701/;Mayrhofer, David & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;Kollaboratives Lernen / E-Collaboration, Reference Model;Ja;19 Mai 2003;;;;;;;;David Mayrhofer;23 Jun 2006 16:52;07 Mar 2018 13:52;https://www.alexandria.unisg.ch/publications/66701
Determination of Enterprise 2.0 Development Levels with a Maturity Model.;https://www.alexandria.unisg.ch/215829/;Friedel, Dominik & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;Enterprise 2.0;Ja;17 July 2012;;;;3-9;;;;Prof. Dr. Andrea Back;15 Aug 2012 11:27;23 Aug 2017 08:34;https://www.alexandria.unisg.ch/publications/215829
Virtuelle Kooperation - Erhaltung des Antriebs. (Virtual cooperation - Supporting the drive). Knowledge Integration after Mergers & Acquisitions in RWE.;https://www.alexandria.unisg.ch/289/;"Gurgul, Grzegorz; Enkel, Ellen & Schulte, K.";"Monograph
  	      
              (Working Paper)";;business studies;Deutsch;;Nein;2002;;;BE HSG/IWI 3 No 35;;;;;Ellen Enkel;25 Okt 2004 11:17;19 Aug 2016 15:53;https://www.alexandria.unisg.ch/publications/289
Collaborative Learning in Action: Management Education at the University of St. Gallen.;https://www.alexandria.unisg.ch/6814/;"Back, Andrea; Seufert, Sabine & Seufert, Andreas";Präsentation;;other research area;Deutsch;;Nein;21 September 1998;;;;;;;;Prof. Dr. Sabine Seufert;20 Feb 2005 13:09;27 Sep 2016 13:54;https://www.alexandria.unisg.ch/publications/6814
Effects of Color Appeal, Perceived Risk and Culture on User’s Decision in Presence of Warning Banner Message.;https://www.alexandria.unisg.ch/250229/;"Silic, Mario; Cyr, Dianne; Back, Andrea & Holzer, Adrian";"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;;;7 Januar 2017;;;;528-536;;;;Prof. Dr. Andrea Back;24 Jan 2017 15:53;17 Jan 2018 15:27;https://www.alexandria.unisg.ch/publications/250229
State of the Art des Management Supports Teil 1: Klassische Management Support Ansätze.;https://www.alexandria.unisg.ch/213154/;Back, Andrea & Seufert, Andreas;"Monograph
  	      
              (Working Paper)";;information management;Deutsch;;Nein;4 März 1997;;;;;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:53;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213154
Creating a Competency Model for Swissair and Sabena.;https://www.alexandria.unisg.ch/214289/;"Keller, Miriam; Leithner, Barbara; Schnoering, Katharina; Bursian, Olaf; Bendel, Oliver & Back, Andrea";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;E-Learning, Knowledge Management;Nein;7 Januar 2002;Institut für Wirtschaftsinformatik;;BE HSG / IWI3 Nr. 24 (Internal Paper);;;;;Miriam Keller;30 Jun 2006 09:21;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214289
Paving the Way to Corporate e-Learning Adoption and Sustainability.;https://www.alexandria.unisg.ch/66878/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;1 July 2004;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:23;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66878
Mobile Business : Management von mobiler IT in Unternehmen.;https://www.alexandria.unisg.ch/229147/;"Sammer, Thomas; Back, Andrea & Walter, Thomas";Buch;;business studies;Deutsch;E-Business, Mobile Business;Nein;2014;;;;214;;;;Prof. Dr. Andrea Back;05 Feb 2014 11:59;23 Aug 2016 11:18;https://www.alexandria.unisg.ch/publications/229147
Teamzentrierte Lernumgebungen: Beispiele und Erfahrungen mit Lehrveranstaltungen an der Universität St. Gallen.;https://www.alexandria.unisg.ch/213791/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;23 Januar 1998;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:35;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213791
Corporate E-Learning: Strategic Issues.;https://www.alexandria.unisg.ch/213138/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;1 Juni 2001;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:39;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213138
Blended-Learning-Projekte im Unternehmen.;https://www.alexandria.unisg.ch/213554/;Keller, Miriam & Back, Andrea;"Monograph
  	      
              (Working Paper)";;information management;Deutsch;Blended Learning;Nein;1 April 2004;Institut für Wirtschaftsinformatik;;3/2004;;;;;Miriam Keller;16 Apr 2009 15:10;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213554
Wissensmanagement IKT-Systeme und -Tools.;https://www.alexandria.unisg.ch/213562/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;1 Oktober 2002;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:55;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213562
Mobile Enterprise - bereit für den mobilen Wandel?;https://www.alexandria.unisg.ch/240750/;Egeli, Martin & Back, Andrea;Zeitungs- oder Magazinartikel;IT business;information management;Deutsch;Mobile Enterprise, Maturity-Modell, Maturity Model, Digital Transformation Initiative;Nein;28 April 2015;;15;1;24-25;1424-8867;;;Prof. Dr. Andrea Back;28 Apr 2015 10:57;23 Aug 2016 11:21;https://www.alexandria.unisg.ch/publications/240750
2.0 Upgradings in Project Management - Opportunities and Risks Through Wiki-Way- and (Micro)Blogging Practices.;https://www.alexandria.unisg.ch/213944/;Back, Andrea;Präsentation;;information management;Deutsch;Business 2.0, Wiki, Enterprise 2.0, Projektmanagement;Nein;21 Juni 2010;;;;;;;;Prof. Dr. Andrea Back;17 Aug 2010 10:44;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213944
Wissensarbeit nach Lean-Prinzipien bei Saia-Burgess Controls.;https://www.alexandria.unisg.ch/236229/;"Back, Andrea; Lauber, Jürgen & Sütterlin, Sarah";Buchkapitel;;information management;Deutsch;Soziale Netzwerke, neue Kommunikationsmedien, vernetzte Organisation;Nein;2014;;;;176-183;;;;Prof. Dr. Andrea Back;24 Okt 2014 11:50;23 Aug 2016 11:20;https://www.alexandria.unisg.ch/publications/236229
Dialogplattform Knowledge Management der Deutschen Bank AG (Internal Paper).;https://www.alexandria.unisg.ch/214060/;"Bendel, Oliver; Stoller-Schai, Daniel; Mergel, Ines & Back, Andrea";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;E-Learning, Knowledge Management;Nein;10 März 2000;;;BE HSG / IWI3 Nr. 12;;;;;Oliver Bendel;01 Dez 2006 10:55;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214060
Mobile Learning App - Wie hätten Sie denn gerne Ihren intelligenten Lerncoach?;https://www.alexandria.unisg.ch/216806/;Back, Andrea & Henestrosa, Alexandra;Präsentation;;information management;Deutsch;Mobile Learning, E-Learning;Nein;18 April 2012;;;;;;;;Prof. Dr. Andrea Back;21 Sep 2012 09:04;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216806
Potenziale pädagogischer Agenten.;https://www.alexandria.unisg.ch/213194/;"Bendel, Oliver; Schnoering, Katharina & Back, Andrea";"Monograph
  	      
              (Working Paper)";;information management;Deutsch;E-Learning, Lernsysteme, Pädagogische Agenten;Nein;15 Januar 2002;Institut für Wirtschaftsinformatik;;1/2002;;;;;Oliver Bendel;16 Apr 2009 14:49;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213194
Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software (2., aktualisierte Auflage).;https://www.alexandria.unisg.ch/58167/;Social-Software-Anwendungen wie Wikis, Weblogs oder Social-Networking-Plattformen sind ein integraler Bestandteil der Weiterentwicklung des Internets, des vielzitierten Web 2.0. Zur Nutzung kommen diese Anwendungen aus dem Bedürfnis heraus, Wissen zu sammeln, bereitzustellen und zu verteilen bzw. Communities aufzubauen und ihnen Raum zum Austausch zu geben. Worin liegt nun aber der praktische Nutzen des Web 2.0 für Unternehmen? Im Rahmen dieses Buches nähern sich rund 30 Autoren aus Wissenschaft und Praxis der Beantwortung dieser Frage. Im Einführungsteil folgt einer Auseinandersetzung mit den Begriffen Web 2.0 und Social Software die nähere Erläuterung der unterschiedlichen Social-Software-Anwendungen wie Wikis, Weblogs oder Social Bookmarking. Im darauf folgenden Abschnitt rücken die Potenziale der Anwendung in Unternehmen und die Wissensarbeiter als Nutzer in den Fokus. Beantwortet werden Fragen wie die nach der notwendigen Unternehmenskultur und wichtigen Kompetenzen, um effizient mit Social Software im Unternehmen arbeiten zu können. Auch die Einführung solcher Anwendungen im Unternehmen wird thematisiert. Der dritte Teil des Buches enthält acht konkrete und umfangreich beschriebene Anwendungsfälle aus grossen und kleinen Unternehmen wie z.B. IBM, Deutsche Bahn, Opel, SUN Microsystems und der PSI AG. Im abschliessenden Teil werden zukünftige Entwicklungen und Visionen thematisiert. Das Buch liefert auf diese Weise sowohl Einsteigern in das Thema als auch Fortgeschrittenen zahlreiche wertvolle Anregungen zur gewinnbringenden Nutzung von Web-2.0-Applikationen in den täglichen Geschäftsprozessen von Unternehmen.;Buch;;other research area;Deutsch;Web 2.0, Social Software, E-Collaboration, Business 2.0, Enterprise 2.0, Weblog, Wiki, Podcast;Nein;2009;Oldenbourg;;;328;;;;Elsy Zollikofer;14 Dez 2009 16:39;27 Feb 2016 17:28;https://www.alexandria.unisg.ch/publications/58167
E-Learning: Weiterbildung im Internet.;https://www.alexandria.unisg.ch/213696/;"Seufert, Sabine; Back, Andrea & Häusler, Martin";Buch;;information management;Deutsch;Blended Learning, Computer-based Training, Didaktische Konzepte, E-Learning, E-Training, Just-in-time-E-Learning, Online Education, Online Learning, Technology-based Training, Telelearning, Virtual Classroom, Web-based Training;Nein;2001;SmartBooks;;;194;;;;Prof. Dr. Andrea Back;30 Jun 2006 10:21;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/213696
Learning-Management-Systeme im Corporate E-Learning: Lösung oder Auslöser.;https://www.alexandria.unisg.ch/65955/;Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;;Nein;28 April 2005;Empa-Akademie;;;28-37;;;;Prof. Dr. Andrea Back;03 Mai 2005 10:31;09 Mar 2018 07:43;https://www.alexandria.unisg.ch/publications/65955
E-Learning im Unternehmen: Vom Kursprojekt zum Reengineering der Bildungsprozesse.;https://www.alexandria.unisg.ch/66843/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;24 Oktober 2002;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:10;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66843
Enterprise Work 2.0: So arbeiten Profis im Netz ... und ich? Persönliche Standortbestimmung.;https://www.alexandria.unisg.ch/214376/;Back, Andrea;Präsentation;;information management;Deutsch;Enterprise 2.0, Web 2.0;Nein;29 Juni 2009;;;;;;;;Prof. Dr. Andrea Back;10 Okt 2011 09:08;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214376
Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry.;https://www.alexandria.unisg.ch/214345/;Back, Andrea & Haager, Christoph;Präsentation;;information management;Deutsch;Web 2.0, Reifegradmodell;Nein;14 Juni 2011;;;;;;;;Prof. Dr. Andrea Back;08 Sep 2011 17:22;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/214345
Web-Conferencing Software Tools: A Comprehensive Market Survey.;https://www.alexandria.unisg.ch/214335/;"Mayrhofer, David; Back, Andrea & Hubschmid, Roger";"Monograph
  	      
              (Working Paper)";;information management;Englisch;E-Collaboration, Survey, Virtual Classroom;Nein;1 April 2004;Institut für Wirtschaftsinformatik;;2/2004;;;;;David Mayrhofer;16 Apr 2009 15:40;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214335
e-Welt: Wissensmanagement.;https://www.alexandria.unisg.ch/66851/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;3 Oktober 2001;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:16;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66851
